# Z=1	: 0.173414
# Z=6	: 0.826586
#
#       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
#       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
#                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
#                                             FIELD    FIELD    SCATT.   SCATT.
#         (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)
#
       5.000E+02 1.293E-10 7.480E-04 7.524E-10 1.193E-02 2.874E-03 1.555E-02 1.555E-02
       6.000E+02 8.977E-11 6.405E-04 6.268E-10 1.212E-02 2.953E-03 1.571E-02 1.571E-02
       8.000E+02 5.052E-11 5.002E-04 4.697E-10 1.237E-02 3.063E-03 1.593E-02 1.593E-02
       1.000E+03 3.232E-11 4.115E-04 3.758E-10 1.254E-02 3.137E-03 1.609E-02 1.609E-02
       1.500E+03 1.437E-11 2.874E-04 2.504E-10 1.278E-02 3.251E-03 1.632E-02 1.632E-02
       2.000E+03 8.081E-12 2.224E-04 1.878E-10 1.292E-02 3.316E-03 1.646E-02 1.646E-02
       3.000E+03 3.591E-12 1.546E-04 1.251E-10 1.307E-02 3.388E-03 1.661E-02 1.661E-02
       4.000E+03 2.020E-12 1.194E-04 9.385E-11 1.315E-02 3.430E-03 1.670E-02 1.670E-02
       5.000E+03 1.293E-12 9.763E-05 7.507E-11 1.320E-02 3.457E-03 1.676E-02 1.676E-02
       6.000E+03 8.977E-13 8.278E-05 6.255E-11 1.324E-02 3.476E-03 1.679E-02 1.679E-02
       8.000E+03 5.052E-13 6.376E-05 4.692E-11 1.329E-02 3.501E-03 1.685E-02 1.685E-02
       1.000E+04 3.232E-13 5.207E-05 3.754E-11 1.331E-02 3.517E-03 1.688E-02 1.688E-02
       1.500E+04 1.437E-13 3.598E-05 2.502E-11 1.335E-02 3.538E-03 1.693E-02 1.693E-02
       2.000E+04 8.081E-14 2.766E-05 1.877E-11 1.338E-02 3.550E-03 1.695E-02 1.695E-02
       3.000E+04 3.591E-14 1.908E-05 1.251E-11 1.340E-02 3.563E-03 1.698E-02 1.698E-02
       4.000E+04 2.020E-14 1.465E-05 9.385E-12 1.341E-02 3.571E-03 1.700E-02 1.700E-02
       5.000E+04 1.293E-14 1.193E-05 7.507E-12 1.342E-02 3.575E-03 1.700E-02 1.700E-02
       6.000E+04 8.977E-15 1.008E-05 6.255E-12 1.343E-02 3.579E-03 1.702E-02 1.702E-02
       8.000E+04 5.052E-15 7.732E-06 4.692E-12 1.343E-02 3.582E-03 1.702E-02 1.702E-02
       1.000E+05 3.232E-15 6.288E-06 3.754E-12 1.344E-02 3.584E-03 1.703E-02 1.703E-02
