# Z=6	: 0.272916
# Z=8	: 0.727084
#
#       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
#       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
#                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
#                                             FIELD    FIELD    SCATT.   SCATT.
#         (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)
#
       1.000E+02 5.635E-09 2.492E-03 1.151E-08 1.288E-02 1.646E-03 1.702E-02 1.702E-02
       1.500E+02 2.504E-09 1.774E-03 7.641E-09 1.403E-02 1.863E-03 1.767E-02 1.767E-02
       2.000E+02 1.408E-09 1.391E-03 5.722E-09 1.474E-02 2.005E-03 1.813E-02 1.813E-02
       3.000E+02 6.261E-10 9.859E-04 3.805E-09 1.559E-02 2.187E-03 1.876E-02 1.876E-02
       4.000E+02 3.522E-10 7.722E-04 2.852E-09 1.609E-02 2.299E-03 1.916E-02 1.916E-02
       5.000E+02 2.254E-10 6.393E-04 2.280E-09 1.642E-02 2.376E-03 1.944E-02 1.944E-02
       6.000E+02 1.565E-10 5.475E-04 1.900E-09 1.666E-02 2.434E-03 1.965E-02 1.965E-02
       8.000E+02 8.805E-11 4.275E-04 1.424E-09 1.699E-02 2.514E-03 1.993E-02 1.993E-02
       1.000E+03 5.635E-11 3.517E-04 1.139E-09 1.720E-02 2.568E-03 2.012E-02 2.012E-02
       1.500E+03 2.504E-11 2.456E-04 7.589E-10 1.751E-02 2.649E-03 2.040E-02 2.040E-02
       2.000E+03 1.408E-11 1.901E-04 5.691E-10 1.768E-02 2.695E-03 2.056E-02 2.056E-02
       3.000E+03 6.261E-12 1.322E-04 3.793E-10 1.786E-02 2.745E-03 2.074E-02 2.074E-02
       4.000E+03 3.522E-12 1.020E-04 2.845E-10 1.796E-02 2.775E-03 2.084E-02 2.084E-02
       5.000E+03 2.254E-12 8.343E-05 2.275E-10 1.802E-02 2.793E-03 2.090E-02 2.090E-02
