#PSTAR: Stopping Powers and Range Tables for Protons
#
#POLYCARBONATE (MAKROLON, LEXAN)                                         
#
#Kinetic   Total     CSDA      Detour 
#Energy    Stp. Pow. Range     Factor 
#MeV       MeV cm2/g g/cm2            
#
2.750E+01 1.919E+01 7.930E-01 0.9985 
3.000E+01 1.788E+01 9.281E-01 0.9986 
3.500E+01 1.579E+01 1.226E+00 0.9986 
4.000E+01 1.418E+01 1.561E+00 0.9986 
4.500E+01 1.290E+01 1.931E+00 0.9987 
5.000E+01 1.186E+01 2.336E+00 0.9987 
5.500E+01 1.100E+01 2.774E+00 0.9987 
6.000E+01 1.027E+01 3.245E+00 0.9987 
6.500E+01 9.647E+00 3.747E+00 0.9987 
7.000E+01 9.107E+00 4.281E+00 0.9987 
7.500E+01 8.634E+00 4.845E+00 0.9988 
8.000E+01 8.217E+00 5.439E+00 0.9988 
8.500E+01 7.846E+00 6.062E+00 0.9988 
9.000E+01 7.513E+00 6.714E+00 0.9988 
9.500E+01 7.214E+00 7.393E+00 0.9988 
1.000E+02 6.943E+00 8.100E+00 0.9988 
1.250E+02 5.897E+00 1.202E+01 0.9988 
1.500E+02 5.185E+00 1.656E+01 0.9989 
1.750E+02 4.669E+00 2.165E+01 0.9989 
2.000E+02 4.278E+00 2.725E+01 0.9989 
2.250E+02 3.971E+00 3.333E+01 0.9990 
2.500E+02 3.724E+00 3.983E+01 0.9990 
2.750E+02 3.521E+00 4.674E+01 0.9990 
3.000E+02 3.352E+00 5.403E+01 0.9990 
3.500E+02 3.086E+00 6.960E+01 0.9991 
4.000E+02 2.887E+00 8.638E+01 0.9991 
4.500E+02 2.733E+00 1.042E+02 0.9991 
5.000E+02 2.612E+00 1.229E+02 0.9991 
5.500E+02 2.513E+00 1.424E+02 0.9992 
6.000E+02 2.433E+00 1.627E+02 0.9992 
6.500E+02 2.366E+00 1.835E+02 0.9992 
7.000E+02 2.309E+00 2.049E+02 0.9992 
7.500E+02 2.260E+00 2.268E+02 0.9992 
8.000E+02 2.218E+00 2.492E+02 0.9992 
8.500E+02 2.181E+00 2.719E+02 0.9993 
