#PSTAR: Stopping Powers and Range Tables for Protons
#
#TUNGSTEN                                                                
#
#Kinetic   Total     CSDA      
#Energy    Stp. Pow. Range     
#MeV       MeV cm2/g g/cm2     
#
6.000E+02, 1.391E+00, 2.909E+02 
6.500E+02, 1.356E+00, 3.274E+02 
7.000E+02, 1.326E+00, 3.647E+02 
7.500E+02, 1.301E+00, 4.027E+02 
8.000E+02, 1.279E+00, 4.415E+02 
8.500E+02, 1.261E+00, 4.809E+02 
9.000E+02, 1.245E+00, 5.208E+02 
9.500E+02, 1.231E+00, 5.612E+02 
1.000E+03, 1.219E+00, 6.020E+02 
1.500E+03, 1.157E+00, 1.025E+03 
2.000E+03, 1.143E+00, 1.461E+03 
2.500E+03, 1.145E+00, 1.898E+03 
3.000E+03, 1.153E+00, 2.334E+03 
4.000E+03, 1.175E+00, 3.193E+03 
5.000E+03, 1.199E+00, 4.035E+03 
6.000E+03, 1.222E+00, 4.861E+03 
7.000E+03, 1.243E+00, 5.672E+03 
8.000E+03, 1.262E+00, 6.470E+03 
9.000E+03, 1.280E+00, 7.257E+03 
1.000E+04, 1.296E+00, 8.034E+03 
