#NeCO2,80/20 @ 25 degC, 779 Torr
# Estart=100, Estop=2000, Estep=19 
#idx, Efield,transDiff,longDiff,e_Velocity
0,100,0.0242046,0.0239007,0.000340956
1,200,0.0184175,0.0183472,0.000694082
2,300,0.016435,0.0168848,0.00105677
3,400,0.0156275,0.0167416,0.00144594
4,500,0.015556,0.0175804,0.0018722
5,600,0.0158693,0.0182019,0.00233975
6,700,0.0165901,0.018978,0.00284263
7,800,0.0175243,0.0200492,0.00336404
8,900,0.0187963,0.0200426,0.00388348
9,1000,0.0201496,0.0201542,0.00437283
10,1100,0.0218404,0.0200444,0.00481126
11,1200,0.0232018,0.0198121,0.00518731
12,1300,0.0244285,0.0194451,0.00550257
13,1400,0.0251838,0.0189596,0.00575847
14,1500,0.0264368,0.0187688,0.00597051
15,1600,0.0271401,0.0188613,0.0061518
16,1700,0.0277818,0.0188858,0.00630819
17,1800,0.0281183,0.0188539,0.00644933
18,1900,0.0282909,0.0187581,0.00657893
