#NeCO2,90/10 @ 25 degC, 779 Torr
# Estart=100, Estop=2000, Estep=19 
#idx, Efield,transDiff,longDiff,e_Velocity
0,100,0.0263127,0.0259203,0.000640593
1,200,0.0219707,0.0221712,0.00130762
2,300,0.0212587,0.0223613,0.00201777
3,400,0.0220192,0.0227255,0.00275386
4,500,0.0238021,0.0228864,0.00344516
5,600,0.0259951,0.0223243,0.0040184
6,700,0.0285254,0.0218272,0.00443762
7,800,0.0309158,0.0214149,0.00471677
8,900,0.0326926,0.0214921,0.00490292
9,1000,0.0343205,0.0219415,0.00504219
10,1100,0.0352114,0.0224781,0.00516389
11,1200,0.0357612,0.0230596,0.00528173
12,1300,0.036325,0.0236524,0.00540219
13,1400,0.0364708,0.0241131,0.00552852
14,1500,0.0367451,0.0238091,0.00565679
15,1600,0.0368609,0.024329,0.0057862
16,1700,0.0368653,0.0245235,0.00591665
17,1800,0.036607,0.0241939,0.0060456
18,1900,0.0366414,0.0245247,0.00617186
