Energy(MeV)
9.33
11.09
8.91
7.68
10.67
4.45
3.48
8.65
5.84
2.75
8.91
11.23
6.58
6.37
8.03
10.43
6.39
2.56
9.22
1.68
10.04
10.85
6.52
10.27
7.87
7.61
5.41
9.44
9.65
10.42
5.67
3.8
6.81
8.29
9.34
7.68
8.02
8.24
0.96
2.64
5.5
9.68
6.01
6.44
9.23
9.06
9.28
9.94
8.08
3.72
1.06
1.06
3.73
8.08
10.32
11.01
8.94
6.17
10.68
1.75
8.74
9.28
2.76
4.29
8.46
0.96
9.73
5.83
9.91
8.29
6.59
8.84
7.89
6.01
5.03
7.39
7.39
10.13
7.16
9.29
2.9
4.6
7.8
3.48
5.53
4.99
6.38
0.54
9.06
3.22
3.28
7.15
10.33
8.8
4.66
9.8
8.1
8.17
8.41
2.53
8.2
6.2
7.56
8.74
3.95
9.58
11.47
10.54
6.16
9.56
0.62
10.06
10.09
5.02
9.75
4.19
8.71
4.17
2.37
8.74
7.72
5.37
10.48
9.76
6.7
9.08
6.83
3.25
3.74
2.07
6.59
4.42
7.56
7.46
4.68
6.14
3.78
10.32
10.12
5.2
2.36
0.76
8.17
10.61
1.96
8.64
5.3
1.55
7.99
6.84
8.83
8.91
4.31
7.22
8.98
6.84
3.18
8.52
4.88
8.88
5.04
6.84
8.17
4.09
5.75
7.13
5.88
5.44
3.85
7.16
5.28
7.43
7.63
2.95
5.0
6.65
6.33
10.53
6.07
9.41
5.76
0.14
8.37
6.9
3.22
4.26
9.11
1.98
5.9
4.89
5.42
2.35
9.85
5.68
10.39
5.64
6.75
6.78
7.81
10.41
10.37
5.99
0.51
11.09
7.97
5.08
2.03
1.62
9.27
8.1
2.57
8.83
8.37
7.52
4.51
7.8
6.38
6.97
9.85
3.71
7.39
6.59
11.01
4.71
2.06
4.6
3.79
9.54
3.0
6.64
7.36
10.8
9.42
6.91
8.95
10.76
8.07
9.38
9.67
3.22
4.12
7.25
9.4
10.19
0.55
4.04
5.24
7.16
8.85
3.72
8.27
9.13
6.3
1.38
7.31
8.03
9.58
9.5
6.39
3.17
6.73
5.11
6.46
7.85
6.78
6.3
9.38
2.09
8.82
10.27
6.69
6.01
9.92
3.92
9.71
7.97
2.45
9.79
1.03
7.1
7.11
9.08
9.67
3.45
9.37
9.69
8.95
6.45
3.7
5.96
5.71
5.0
8.7
2.26
8.39
10.76
9.49
9.08
9.12
8.25
5.02
4.29
8.81
3.06
9.69
5.35
10.3
7.48
8.63
4.27
4.96
2.19
9.76
7.2
6.13
4.75
5.68
0.45
3.85
8.32
4.67
9.63
9.97
9.13
2.79
1.16
9.8
4.42
0.89
8.23
3.08
10.08
5.22
0.47
7.58
8.93
9.81
7.94
7.96
3.51
7.73
5.72
10.13
7.25
4.13
10.61
5.95
7.38
10.32
4.29
7.84
