Energy(MeV)
1.42
0.61
1.33
0.65
0.93
4.61
1.16
6.06
0.28
0.92
8.52
1.28
0.42
0.74
0.99
3.67
0.11
4.2
3.38
4.13
1.98
0.96
3.07
