Energy(MeV)
0.22
0.28
0.45
0.34
0.13
1.46
5.76
0.17
6.08
5.52
5.55
0.39
0.08
2.78
4.13
0.95
2.41
2.95
2.04
2.81
0.13
0.53
0.22
0.12
0.32
8.23
4.66
3.39
8.46
0.6
2.81
0.1
1.81
0.16
4.15
3.38
0.25
0.53
3.88
0.26
5.38
0.1
0.96
5.68
0.44
6.18
3.73
4.01
5.22
0.2
6.09
4.19
0.41
3.07
0.12
0.34
0.77
6.24
0.11
0.13
6.03
0.36
1.73
3.2
0.52
0.58
2.29
0.11
2.25
0.45
1.89
5.04
4.93
4.34
4.74
0.1
0.62
2.36
7.87
1.59
0.33
2.46
0.87
4.75
0.23
0.26
0.38
0.17
4.44
4.88
4.67
0.11
0.13
0.86
4.15
0.14
0.22
0.63
4.7
2.59
0.59
0.26
0.1
0.4
0.12
0.7
0.27
0.48
1.18
0.11
0.22
0.26
5.57
3.95
0.88
3.49
0.24
0.46
2.57
5.16
1.33
5.05
2.34
6.44
0.13
1.11
0.18
0.46
0.12
0.5
0.35
4.69
3.9
2.37
3.82
0.93
4.82
1.93
2.46
4.53
0.23
0.6
1.71
2.92
8.61
2.64
0.22
2.61
0.69
1.14
5.75
0.52
6.58
0.15
0.42
6.97
0.1
0.93
5.21
0.3
0.57
4.34
0.69
0.41
3.09
4.11
0.07
1.97
0.15
1.8
2.48
3.61
0.24
0.34
0.4
4.26
9.77
5.76
0.67
5.44
0.14
0.78
3.09
1.36
0.29
0.19
2.3
3.23
4.77
0.1
1.83
2.61
0.14
6.79
4.07
0.29
8.75
0.17
2.0
1.21
1.12
3.99
1.81
5.27
0.17
0.64
0.64
1.55
1.55
3.96
3.96
5.38
0.33
0.59
3.44
0.37
1.74
2.5
3.86
0.15
0.26
0.09
0.18
7.61
0.33
0.1
1.45
0.17
7.12
0.33
5.01
1.32
1.32
5.78
5.78
0.42
0.73
1.06
0.72
0.18
1.36
7.87
0.12
2.81
1.69
0.71
3.5
1.44
5.14
0.04
0.11
0.38
0.83
2.87
0.57
4.93
5.83
0.1
1.63
5.06
0.18
6.2
0.07
1.28
1.46
2.12
3.78
0.25
0.88
0.17
0.18
5.04
3.4
1.23
1.91
2.2
4.0
0.76
7.94
0.12
0.33
2.74
5.32
2.5
6.73
0.37
3.57
4.1
3.11
0.15
0.27
1.39
5.85
1.2
6.22
0.25
0.91
3.51
3.84
0.47
1.3
0.22
0.54
0.38
0.33
0.12
1.68
0.18
2.96
4.15
1.69
0.12
0.87
0.21
0.35
6.84
0.86
5.31
0.09
3.57
6.95
0.31
6.56
6.06
0.77
0.21
2.29
0.14
6.12
0.75
0.21
4.91
1.42
0.19
0.26
0.64
9.12
0.75
3.35
0.66
1.02
0.22
1.83
1.38
1.19
0.29
0.36
2.61
0.1
0.21
3.06
6.42
0.96
3.31
0.11
3.86
0.56
1.2
3.42
0.17
4.32
0.29
0.48
5.4
0.1
0.82
6.11
2.38
0.48
1.88
0.16
0.62
3.68
0.14
2.47
0.06
6.32
0.8
2.66
3.39
0.15
1.75
3.72
4.38
0.55
2.94
0.19
4.86
4.74
2.95
8.57
0.18
1.72
0.1
0.67
2.3
5.18
0.79
1.13
0.51
8.0
0.1
3.07
0.41
0.33
3.4
2.19
3.24
2.72
0.11
0.67
2.12
0.27
2.48
0.06
5.63
2.17
0.4
0.37
2.76
0.33
1.72
3.25
0.13
1.87
2.42
0.14
2.73
0.13
0.14
1.28
4.63
0.07
1.29
1.33
0.74
0.22
0.68
0.25
0.14
4.14
0.5
0.61
2.75
0.43
1.32
7.25
0.5
0.84
2.04
0.5
2.21
4.11
4.24
0.57
2.46
0.16
2.97
0.16
4.88
0.1
0.52
1.22
4.0
3.86
0.41
1.17
0.25
1.27
1.6
2.42
0.36
6.37
0.52
2.24
0.24
2.89
4.76
0.95
4.87
0.61
5.85
2.54
0.28
7.67
1.87
0.55
5.78
5.74
0.09
0.78
1.95
2.32
4.0
0.26
3.33
0.14
0.24
0.6
1.71
7.87
10.05
1.64
1.86
2.23
6.8
8.68
0.07
0.51
2.86
0.41
0.2
0.22
1.9
0.44
2.9
3.81
0.18
2.58
3.46
5.52
1.7
7.06
6.5
4.02
0.9
9.8
8.96
1.18
0.81
0.15
2.25
3.61
2.03
8.02
1.11
0.07
2.41
7.46
0.54
3.12
0.15
6.43
1.0
9.18
6.32
7.25
0.12
1.21
1.26
3.75
0.09
3.02
0.34
5.1
2.04
3.16
0.94
2.93
0.1
0.16
7.92
0.45
1.54
2.17
1.74
0.14
2.4
0.15
0.59
4.04
0.13
0.34
2.52
0.44
4.92
0.36
1.74
0.07
0.26
1.27
0.1
3.51
0.44
7.83
3.11
2.13
0.33
1.1
7.82
0.16
0.62
2.53
2.03
4.44
0.21
4.58
0.22
3.28
0.74
0.33
7.56
0.39
1.62
3.97
0.24
1.93
1.93
1.95
4.7
0.08
0.12
2.12
6.44
0.22
0.14
5.53
1.25
0.16
5.2
5.11
0.11
0.25
8.09
0.45
6.7
0.1
4.01
1.34
1.1
5.3
0.18
0.08
0.1
3.46
1.1
1.82
0.99
0.09
0.87
0.79
6.21
0.67
0.35
0.41
3.39
0.11
0.13
0.72
6.23
0.18
0.9
0.35
0.09
0.34
0.26
8.08
0.11
1.39
0.49
0.92
0.57
1.79
3.17
4.17
7.44
2.52
0.38
0.69
0.26
3.17
0.37
0.46
3.62
0.25
2.64
0.16
2.02
0.19
3.45
5.07
1.2
6.87
1.96
0.56
3.57
0.28
1.56
2.61
0.67
6.54
1.3
7.03
0.63
0.53
1.88
5.11
4.41
0.29
2.3
4.1
0.15
3.27
5.74
0.26
0.33
5.3
1.41
0.14
0.85
0.2
3.55
1.66
3.11
0.39
0.44
6.95
0.45
2.78
4.87
5.62
0.11
0.81
0.1
0.28
0.16
0.6
0.14
6.58
2.41
0.17
0.79
0.12
1.27
0.47
5.08
0.29
0.86
4.26
0.53
5.79
0.66
2.59
2.86
2.92
0.16
0.58
5.39
3.35
0.27
1.01
0.13
1.41
1.59
3.88
5.45
0.29
0.1
0.53
6.01
0.45
2.66
0.23
4.01
6.49
1.0
3.92
0.31
2.74
5.42
0.8
3.07
1.01
6.35
0.43
1.21
0.07
0.69
1.98
4.62
1.74
0.45
1.88
3.35
8.1
1.22
6.09
0.44
1.39
1.93
0.25
0.17
3.64
0.44
3.74
2.95
1.72
2.44
9.76
6.39
3.53
7.56
0.14
1.38
7.17
0.28
0.79
3.9
4.04
2.43
6.76
0.11
0.39
0.23
1.27
2.68
4.97
1.21
0.38
6.0
0.35
2.27
4.52
0.17
0.35
0.12
1.78
3.11
5.6
4.31
4.67
0.37
1.29
7.06
0.2
0.47
0.15
0.62
7.52
4.48
0.16
1.71
2.23
0.13
0.15
1.49
2.5
0.63
0.97
1.48
1.91
2.04
1.23
4.65
2.33
4.65
0.18
3.4
3.0
0.14
1.18
0.14
0.46
7.28
0.63
5.08
0.51
3.44
0.38
6.92
0.09
0.5
5.36
2.97
0.6
8.53
4.98
0.35
0.21
4.47
4.2
4.41
2.71
1.57
0.44
0.28
1.71
3.15
1.34
0.41
0.1
0.99
0.13
5.13
0.1
6.78
0.46
0.1
0.84
0.1
0.38
0.48
1.7
5.9
0.11
5.27
0.59
3.49
0.05
0.21
3.68
0.22
6.16
1.77
4.08
8.21
0.74
8.72
0.25
0.73
0.33
2.11
3.39
0.23
2.07
4.34
0.2
0.12
2.63
1.0
0.32
2.03
4.75
0.2
4.61
0.23
1.25
0.55
5.53
0.49
1.32
5.26
0.11
0.38
0.98
3.64
1.05
7.19
0.8
6.61
7.46
0.97
0.11
4.11
1.98
3.24
7.72
0.42
7.55
2.82
5.4
0.42
0.31
9.11
0.5
6.26
0.49
2.47
1.29
3.19
5.37
0.18
1.83
0.28
3.04
2.12
0.12
3.21
1.28
3.08
1.63
1.24
0.18
0.09
0.48
8.85
0.11
0.11
1.59
2.46
4.92
0.37
0.39
1.85
0.15
0.17
0.36
0.19
4.89
0.11
4.31
5.52
0.21
2.9
0.32
1.23
0.18
0.35
3.59
0.5
2.98
0.35
0.28
8.2
0.67
2.02
0.16
1.73
1.25
5.77
0.84
2.35
0.09
2.89
0.12
0.12
5.14
4.88
1.73
1.7
3.13
0.09
1.65
6.31
0.1
0.69
2.01
2.48
0.66
0.22
0.16
4.1
0.58
5.69
0.46
0.2
0.77
3.14
0.4
1.62
3.95
0.12
0.62
0.3
1.71
0.11
5.65
4.42
0.87
4.72
0.17
4.66
1.87
5.6
0.22
2.03
3.79
0.41
0.2
2.81
0.61
1.86
0.16
0.58
0.07
0.06
1.05
0.18
0.76
3.65
0.29
0.18
6.49
0.26
4.17
6.37
0.18
1.3
4.33
0.99
2.17
6.49
0.1
0.95
2.46
0.2
0.51
6.0
2.53
0.15
0.32
3.15
0.55
0.12
0.83
3.14
0.13
0.67
5.67
0.36
1.18
0.44
1.8
2.8
0.36
1.4
8.04
0.21
3.41
1.45
1.85
5.17
2.07
1.82
2.3
3.96
0.36
0.59
2.89
4.29
1.94
1.7
1.0
0.38
2.55
0.57
1.8
0.29
0.46
3.56
1.3
2.65
5.69
0.29
3.8
5.32
1.06
1.06
7.67
7.67
4.51
0.11
7.17
0.09
0.46
5.59
0.69
5.54
7.15
1.04
1.41
2.66
1.27
1.3
0.42
0.09
0.96
0.13
0.78
1.1
2.41
4.26
0.1
0.21
7.49
8.33
1.75
3.86
0.73
1.96
0.15
0.15
0.46
1.74
1.42
2.77
1.41
8.64
0.22
1.25
6.87
0.13
0.54
3.03
1.52
0.13
0.91
3.87
1.72
3.46
1.35
5.38
1.25
0.28
3.42
3.45
2.28
0.75
3.99
0.38
0.74
1.79
2.89
3.59
6.12
0.65
2.23
7.52
0.78
1.0
6.04
6.5
0.11
4.55
1.44
6.38
0.12
5.63
0.23
1.06
2.97
0.2
3.39
0.32
0.19
0.2
7.24
